ID, Question, Choice_A, Choice_B, Choice_C, Choice_D, Choice_E, Correct_Answer
196,Which organization was not involved in the Civil Rights Movement?,(A) SNCC,(B) UFW,(C) CORE,(D) SCLC,(E) NAACP,B
197,Place these Civil Rights milestones in chronological order. 1) Montgomery bus boycott 2) Birmingham desegregation demonstrations 3) voting rights march from Selma to Montgomery 4) Brown v. Board of Education 5) Greensboro lunch counter sit-ins,"(A) 1,4,2,5,3","(B) 4,1,5,2,3","(C) 4,5,1,2,3","(D) 5,2,4,1,3","(E) 1,5,4,3,2",B
198,The goal of the Freedom Rides was to desegregate,(A) lunch counters.,(B) school buses.,(C) bus stations.,(D) interstate buses.,(E) trains.,C
199,The landmark Brown v. the Board of Education Supreme Court decision on school desegregation was based on,(A) the 14th Amendment equal protection clause.,"(B) the 13th Amendment, which ended slavery.",(C) the 5th Amendment due process clause.,(D) the Bill of Rights.,(E) the doctrine of strict scrutiny.,A
200,Put the following events in order from oldest to most recent. 1) Geneva Accords 2) Tonkin Gulf 3) Dien Bien Phu 4) The Tet offensive 5) The assassination of Ngo Dinh Diem,"(A) 2,3,4,1,5","(B) 4,3,2,5,1","(C) 3,1,5,2,4","(D) 3,1,4,2,5","(E) 2,3,5,1,4",C
201,Nixon’s policy in Vietnam was called,(A) Rolling Thunder.,(B) Vietnamization.,(C) containment.,(D) immediate withdrawal.,(E) pacification.,B
202,Vietnam revisionism is a belief that,(A) immediate peace was necessary.,(B) America lost the war because of a lack of congressional support.,(C) the demonstrators lost the war.,(D) the Army did not fight hard enough.,(E) the Vietnamese were tougher than we had expected.,B
203,"In 1968, President Johnson did not run for re-election because",(A) he had already served two full terms.,(B) he had lost the New Hampshire primary.,(C) he wanted to negotiate a peace.,(D) his health was failing.,(E) Eugene McCarthy came in a close second in the New Hampshire primary.,E
204,Which was the most important reason for the early growth of Students for a Democratic Society (SDS) and the Free Speech Movement (FSM)?,(A) Drugs,(B) Government lies,(C) The high divorce rate,(D) Optimism caused by the postwar boom,(E) The nuclear threat,D
205,Which did the Beatles influence the LEAST?,(A) Students For a Democratic Society (SDS),(B) American rock and roll,(C) Hippies,(D) Timothy Leary,(E) Yippies,A
206,Match the book and the author: A) Growing Up Absurd B) The Power Elite C) The Art of Loving D) The Way of Zen E) Steal This Book 1) Alan Watts 2) Abbie Hoffman 3) Paul Goodman 4) C. Wright Mills 5) Eric Fromm,"(A) A-3, B-4, C-5, E-2","(B) B-4, C-1, D-4, E-2","(C) B-5, C-1, D-3, E-2","(D) A-5, B-4, D-1, E-2","(E) B-4, C-3, D-1, E-2"," ""A"""
207,The key reason for the slowing of protests after 1971 was that,(A) America was winning in Vietnam.,(B) the government became more responsive.,(C) the draft ended.,(D) all the major battles had been won.,(E) the government cracked down on protesters.,C
208,Which of the following statements from the Seneca Falls Declaration of 1848 was NOT a concern of the feminist movement of the 1970s? I. II. III.,"(A) He has usurped the prerogative of Jehovah himself, claiming it as his right to assign for her a sphere of action, when that belongs to her conscience and to her God.","(B) He has endeavored, in every way that he could, to destroy her confidence in her own powers, to lessen her self-respect and to make her willing to lead a dependent and abject life.","(C) Now, in view of this entire disfranchisement of one-half the people in this country, we insist that [women] have immediate admission to all the rights and privileges which belong to them as women.",(D) I,(E) II and III,C
209,The Carter Administration faced,(A) the Iran-Contra scandal.,(B) the energy crisis.,(C) record deficits.,(D) Iraq’s invasion of Kuwait.,(E) revolution in Jamaica.,B
210,Nixon resigned because,(A) he was impeached.,(B) the Senate voted to impeach him.,(C) there were too many demonstrations.,(D) he was threatened with impeachment and did not have support in the Senate.,(E) he had lied to Congress.,D
211,The Carter Administration faced,(A) the Iran-Contra scandal.,(B) the energy crisis.,(C) record deficits.,(D) Iraq’s invasion of Kuwait.,(E) revolution in Jamaica.,B
212,Nixon resigned because,(A) he was impeached.,(B) the Senate voted to impeach him.,(C) there were too many demonstrations.,(D) he was threatened with impeachment and did not have support in the Senate.,(E) he had lied to Congress.,D
213,Match the author with the book: A) Rachel Carson B) Betty Friedan C) Kate Millet D) Paul Ehrlich E) Carl Bernstein and Bob Woodward 1) Sexual Politics 2) All the President’s Men 3) The Population Bomb 4) Silent Spring 5) The Feminine Mystique,"(A) A-4, B-1, D-2, E-3","(B) B-1, C-5, D-2, E-3","(C) B-5, C-3, D-4, E-2","(D) A-1, C-5, D-3, E-2","(E) A-4, B-5, C-1, D-3",E
214,Ronald Reagan was called the Great Communicator because,(A) he always told the truth.,(B) he memorized his speeches.,(C) he connected with people.,(D) he had been an actor.,(E) it was his nickname as a radio announcer.,C
215,Supply-side economics was designed to,(A) increase demand by cutting taxes.,(B) provide more goods and services.,(C) provide money for new business investment by cutting taxes.,(D) make government grow.,(E) cut the size of the government.,C
216,Who did not vote for Bush in large numbers in 1988?,(A) Southerners,(B) Women,(C) Those with high incomes,(D) Residents of Maine,(E) Reagan Democrats,B
217,Which issue is least emphasized by “family values” advocates? (A) Abortion,(B) Stay-at-home mothers,(C) Religion,(D) Homosexuality,(E) Education,E,
218,Bill Clinton’s presidency was marked by,(A) a period of prosperity for the nation.,(B) an absence of political dissension between the Republicans and the Democrats.,(C) peace between the Israelis and the Palestinians.,(D) an isolationist foreign policy.,(E) the passage of the Contract with America.,A
219,The people of the United States demonstrated their disapproval of Clinton’s first two years in office by,(A) holding demonstrations in Washington to express their displeasure.,(B) appointing a special counsel to investigate Bill Clinton.,(C) electing Republicans to Congress in 1994.,(D) electing New Democrats to Congress in 1994.,(E) impeaching Bill Clinton.,C
220,Bill Clinton supported free-trade policies by signing the,(A) free-trade agreement with France.,(B) North American Free Trade Agreement.,(C) Dayton Accord.,(D) order imposing sanctions on Japanese trade with the United States.,(E) agreement to establish multinational companies.,B
221,The Election of 2000 was significant because,(A) the Supreme Court of Florida decided the election.,"(B) Katherine Harris, a Democrat, validated the election.",(C) Al Gore won more popular votes than George W. Bush but lost the election.,"(D) Jeb Bush, the brother of George W. Bush, was governor of Florida.",(E) George W. Bush was the first son to follow his father into the presidency.,C
222,"In his 2001 “War on Terror” speech to Congress, George W. Bush demanded the Taliban do all of the following EXCEPT",(A) immediately close all terrorist camps.,(B) release all foreign prisoners.,(C) transfer all terrorists on Afghani soil to the United States.,(D) hand over Saddam Hussein.,(E) give U.S. troops access to terror camps to ensure compliance.,D
223,Mortgage-backed securities are,(A) bundles of subprime mortgages traded like stocks.,(B) low-interest loans offered to people with troubled credit histories.,(C) another name for adjustable-rate mortgages.,(D) recession-proof investments.,(E) stable assets.,A
224,George W. Bush’s immigration reform policy can best be described as,(A) amnesty for all people who immigrated to the U.S. illegally.,"(B) unrealistic, in that it refused to acknowledge illegal immigrants who were already working in the United States.",(C) a policy to deport immediately all illegal immigrants.,(D) a pathway to citizenship for illegal immigrants already working in the United States coupled with measures to restrict more from entering.,(E) a way to safeguard American jobs for U.S. citizens.,D
